DV1_disp_2,DV2_U_shape_thick,DV3_Star_Start,DV4_projection_angle,DV5_t,DV6_ellipse_depth,DV7_ellipse_alpha,Run
3.629983628,3.593438469,16.7731432,169.5785177,1.552104951,7.728820029,1.070397305,Run23
5.069281349,4.223157568,15.35012391,172.2329464,2.50016076,7.826599347,0.990752027,Run24
4.409493367,3.562236564,15.79615602,164.3734414,2.827305353,7.538532383,1.148026233,Run25
4.461896211,2.036746836,15.19479723,166.9082136,2.673177547,7.565894461,0.96744293,Run31
4.196230494,2.178732528,15.70364958,160.7048031,2.808548109,7.401249183,0.947520637,Run32
4.422448267,2.857536132,16.98938902,168.5512088,2.353674901,7.039716733,0.914640161,Run33
4.099804695,1.660028433,17.37035187,167.5993525,2.079157675,7.359853363,0.901689964,Run34
5.429127739,4.096219884,15.32250732,168.4717652,2.263464169,7.794019585,0.944863625,Run35
5.292910932,2.279056846,15.45274113,163.5944099,1.855714675,7.907814566,1.124750988,Run36
5.226353653,3.497789835,15.78695072,171.2018706,1.649765909,7.880272852,0.965738381,Run37
4.21919768,2.418921107,16.12989224,177.5727551,2.604813535,7.06156352,1.197520107,Run38
4.356918875,4.248963455,15.04921766,178.8226144,2.386812503,7.557490574,0.948663325,Run39
5.211419655,1.563259869,15.15528886,163.4431953,2.539910918,7.869610895,1.067362212,Run40
4.569126851,1.521174178,16.48300593,178.0669997,2.30281285,7.802167294,1.061929628,Run42
4.111992593,1.965139748,15.50210056,166.6433047,1.941240522,7.758641454,0.931331761,Run44
4.760746018,3.149859075,17.20037945,176.4629576,2.658233173,7.340547828,0.943090136,Run45
5.321278781,2.378783386,17.91282879,176.9728928,2.205088287,7.097376071,0.956527275,Run46
3.718197377,3.359797493,15.46757327,169.8583904,2.458397075,7.168129634,1.19537438,Run48
5.425502174,2.620467876,15.12309164,178.2830066,2.945379836,7.125920373,1.038614459,Run49
5.105324746,2.466665193,15.41099826,173.4319919,2.488732165,7.956195028,0.981463217,Run50
5.169802501,3.03677196,15.17636571,175.2677773,1.555778285,7.983733035,1.132422484,Run51
4.637647805,4.026093893,15.03075545,167.3669505,2.069220427,7.120679631,0.905138987,Run52
3.781511356,2.007301016,17.31100555,162.326517,2.434177048,7.282752962,0.926322885,Run53
4.032755848,1.718809435,16.1055443,161.3062119,2.903902339,7.620019966,0.988378032,Run54
5.254865339,2.587950337,15.58638375,173.5725078,2.273281002,7.215354047,1.015864559,Run57
4.896072863,2.221092073,15.93580369,178.5015439,2.085657315,7.784375178,1.031572735,Run58
4.004710518,2.769183211,15.97569931,170.3060045,2.210798308,7.445360557,1.002636106,Run60
3.58762702,2.29168448,15.38681249,166.195384,1.524510131,7.552348697,1.104259753,Run62
3.960902557,4.180493002,17.1761949,165.4919303,2.31492171,7.482792299,1.157276164,Run65
5.001148562,3.277918341,16.09526091,174.0930409,2.403331478,7.288285576,0.953595318,Run66
5.143528006,1.755433858,17.06785364,161.2243817,2.683485786,7.365367539,0.930096103,Run67
4.288190506,1.96765409,15.849195,166.2879006,1.807633793,7.704048544,1.043850707,Run70
